.,Type,Vendor,Model,Serial number,CPU,Memory,GB,Grading,Comments,Repairs,Locked,Locked to,kan sælges på Refurbed,Keyboard,Battery,Battery threshold,Internal
1,Laptop,Dell,Latitude 5410,CC0MZ53,i7-10610U,16 GB DDR4,256 GB,C,"Normal W&T, Defective Keyboard (Unresponsive Keys)",,No,,FALSE,German,83.00%,Above,December '25
1,Laptop,Dell,Latitude 5410,J2B1GB3,i7-10610U,16 GB DDR4,256 GB,C,"Normal W&T, Heavy Tear (Top & Bottom Cover), Marks on Screen, Broken USB Port",,No,,FALSE,German,56.00%,Below,December '25
1,Laptop,Dell,Latitude 5410,590MZ53,i7-10610U,16 GB DDR4,256 GB,C,"Normal W&T, Heavy Tear (Top Cover)",,No,,FALSE,German,56.00%,Below,December '25
1,Laptop,Dell,Latitude 5410,2QY0GB3,i7-10610U,16 GB DDR4,256 GB,C,"Normal W&T, Heavy Tear (Top & Bottom Cover), Marks on Screen, Worn Left Click Button",,No,,FALSE,German,22.00%,Below,December '25
1,Laptop,Dell,Latitude 5420,8HX21F3,i7-1185G7,16 GB DDR4,256 GB,C,"Normal W&T, Heavy Tear (Top Cover)",,No,,FALSE,German,70.00%,Below,December '25
1,Laptop,Dell,Latitude 5420,8YZM3D3,i7-1185G7,16 GB DDR4,256 GB,C,"Normal W&T, Heavy Tear (Top Cover)",,No,,FALSE,Norwegian,53.00%,Below,December '25
1,Laptop,Dell,Latitude 5420,35556J3,i7-1185G7,16 GB DDR4,256 GB,C,"Normal W&T, Heavy Tear (Top Cover), Marks on Screen",,Yes,GBT,FALSE,English UK,100.00%,Above,December '25
1,Laptop,Dell,Latitude 5420,7L9ZPN3,i7-1185G7,16 GB DDR4,256 GB,C,"Normal W&T, Heavy Tear (Top & Bottom Cover)",,Yes,GBT,FALSE,English UK,49.00%,Below,December '25
1,Laptop,Dell,Latitude 5420,2NZMJQ3,i7-1185G7,16 GB DDR4,256 GB,B,Normal W&T,,Yes,GBT,TRUE,German,87.00%,Above,December '25
1,Laptop,Dell,Latitude 5420,1MVBQN3,i7-1185G7,16 GB DDR4,256 GB,B,Normal W&T,,Yes,GBT,TRUE,Spanish Castillian,76.00%,Below,December '25
1,Laptop,Dell,Latitude 5420,2M5R4D3,i7-1185G7,16 GB DDR4,256 GB,C,"Normal W&T, Defective Keyboard (Unresponsive Keys)",,No,,FALSE,German,51.00%,Below,December '25
1,Laptop,Dell,Latitude 5420,DWBMJQ3,i7-1185G7,16 GB DDR4,256 GB,B,Normal W&T,,Yes,GBT,TRUE,German,87.00%,Above,December '25
1,Laptop,HP,EliteBook 745,5CG6052HFW,A6 PRO-7050B R4,4 GB DDR3,16 GB,C,"Normal W&T Defect CMOS Battery, Supporter ikke windows 11",,,,FALSE,English UK,100.00%,Above,December '25
1,Laptop,Lenovo,Thinkpad T440s,PF00F7D4,i5-4300U,8 GB DDR3,128 GB,C,"Normal W&T, Defective keyboard (Multible keys loose), Supporter ikke windows 11",,,,FALSE,French (Europe),79.00%,Below,December '25
1,Desktop,Dell,Optiplex 7010 Micro Plus,2FNDNZ3,i5-13600,32 GB DDR5,256 GB,B,Normal W&T,,Yes,GBT,FALSE,,,,December '25
1,Desktop,Dell,OptiPlex Micro Plus 7010,D7JDWY3,i7-13700,16 GB DDR5,256 GB,B,Normal W&T,,Yes,GBT,FALSE,,,,December '25
1,Desktop,Dell,Optiplex 7070 Micro,80X7833,i7-9700T,16 GB DDR4,256 GB,C,"Normal W&T, Heavy tear (Top Cover)",,No,,TRUE,,,,December '25
1,Desktop,Dell,Optiplex 7070 Ultra,JRWM833,i7-8665U,16 GB DDR4,256 GB,B,Normal W&T,,No,,FALSE,,,,December '25
1,Desktop,Dell,Optiplex 7070 Ultra,6M5B833,i7-8665U,16 GB DDR4,256 GB,B,Normal W&T,,No,,FALSE,,,,December '25
1,Desktop,Dell,Optiplex 7070 Ultra,BT2WK93,i7-8665U,16 GB DDR4,256 GB,B,Normal W&T,,No,,FALSE,,,,December '25
1,Desktop,Lenovo,ThinkCentre M700 Micro,S4BG7222,i5-6500T,16 GB DDR4,128 GB,B,Normal W&T,,No,,FALSE,,,,December '25
1,Desktop,Lenovo,Thinkcentre M700 Micro,S4AH8783,i5-6500T,16 GB DDR4,128 GB,B,Normal W&T,,No,,FALSE,,,,December '25
1,Desktop,Lenovo,Thinkcentre M73 Micro,PC05XZMG,i5-4590T,4 GB DDR3,512 GB,B,"Normal W&T, Supporter ikke windows 11",,,,FALSE,,,,December '25
1,Desktop,Lenovo,Thinkcentre M73 Micro,S4S41343,i5-4590T,4 GB DDR3,512 GB,C,"Normal W&T, Heavy Tear (Top Cover), Supporter ikke windows 11",,,,FALSE,,,,December '25
1,Desktop,Lenovo,Thinkcentre M73 Micro,S4U32855,i5-4590T,4 GB DDR3,512 GB,B,"Normal W&T, Supporter ikke windows 11",,,,FALSE,,,,December '25
1,Smartphone,Apple,iPhone 8,FFQXR29DJC67,,,64 GB,D,"Normal W&T, Marks on Screen, Cracked Back Cover",,,,FALSE,,0.89,Above,DanOffice
1,Smartphone,Apple,iPhone SE (2nd generation),F17DMCXTPLK2,,,128 GB,C,"Normal W&T, Marks on Screen",,,,TRUE,,0.86,Above,DanOffice
1,Smartphone,Apple,iPhone SE (2nd generation),FFXCW39QPLK2,,,128 GB,C,"Normal W&T, Marks on Screen, DEP Locked",,,,FALSE,,79.00%,Below,DanOffice
1,Smartphone,Samsung,Galaxy A20e,R58MC37PAHV,,,16 GB,C,"Normal W&T, Marks on Screen",,,,TRUE,,,,DanOffice
1,Smartphone,Samsung,Galaxy A20e,R58MC37PJRA,,,16 GB,B,"Normal W&T, Heavy Tear (Back Cover)",,,,TRUE,,,,DanOffice
1,Smartphone,Apple,iPhone 11,FFWL1EG7N736,,,64 GB,C,"Normal W&T, Sim Tray Missing",,,,FALSE,,0.96,Above,DanOffice
1,Smartphone,Apple,iPhone 12 mini,C76DTPNY0GPP,,,64 GB,D,"Normal W&T, Marks on Screen, Cracked Back Cover",,,,FALSE,,0.84,Above,DanOffice
1,Smartphone,Apple,iPhone 7,DNVSKJ32HG7F,,,32 GB,D,"Normal W&T, Marks on Screen",,,,FALSE,,83.00%,Above,DanOffice
1,Smartphone,Apple,iPhone 8,FFMZR030N1N0,,,128 GB,D,"Normal W&T, Broken Screen",,,,FALSE,,87.00%,Above,DanOffice
1,Server,HPE,ProLiant ML30 Gen9 (TWR),CZ164800WE,e3-1220,16 GB DDR4,1 TB,B,Normal W&T,,,,TRUE,,,,DanOffice
1,Desktop,Lenovo,ThinkCentre M720q (Tiny),PC18DXAS,I5-8400T,8 GB DDR4,256 GB,B,Normal W&T,,,,TRUE,,,,DanOffice
1,Desktop,Lenovo,ThinkCentre M900 (Tiny),S4U26834,I5-6500T,8 GB DDR4,192 GB,B,Normal W&T,,,,TRUE,,,,DanOffice
1,Laptop,Lenovo,ThinkPad T14 Gen 3,PF4D9SCV,I5-1235U,16 GB DDR4,256 GB,B,Normal W&T,,,,TRUE,Nordic,,,DanOffice
1,Laptop,Lenovo,ThinkPad T14s Gen 1,PC1P593M,I5-10210U,16 GB DDR4,256 GB,D,"Normal W&T, Marks on Screen, Medium Tear (Top Cover), Defective Mousepad",,,,FALSE,Nordic,,,DanOffice
1,Laptop,Lenovo,ThinkPad T14s Gen 2i,GM0DZ7YE,I5-1135G7,16 GB DDR4,512 GB,C,"Normal W&T, Screen Miscoloration.",,,,FALSE,Nordic,,,DanOffice
1,Laptop,Lenovo,ThinkPad T490s,PC17ZJL7,I5-8265U,16 GB DDR4,256 GB,D,"Normal W&T, Marks on Screen, Dead Pixel on Screen, Heavy Tear (Top Cover and Palmrest), Worn Trackpad, Defective CMOS Battery",,,,FALSE,Nordic,,,DanOffice
1,Laptop,Lenovo,ThinkPad L570,MP1CXS4X,I5-7200U,8 GB DDR4,180 GB,B,Normal W&T,,,,TRUE,Danish,,,DanOffice
1,Laptop,Lenovo,ThinkPad T14 Gen 4,PF4PQXSF,I5-1335U,16 GB DDR5,256 GB,B,Normal W&T,,,,TRUE,Nordic,1,Above,DanOffice
1,Laptop,Lenovo,ThinkPad X1 Carbon 5th,PF13WGU7,I5-7200U,8 GB DDR3,256 GB,B,"Normal W&T, Worn CMOS battery",,,,TRUE,Danish,0.85,Above,DanOffice
1,Laptop,Lenovo,ThinkPad T14 Gen 4,PF4HW6F7,I5-1335U,16 GB DDR5,256 GB,B,Normal W&T,,,,TRUE,Nordic,100.00%,Above,DanOffice
1,Laptop,Lenovo,ThinkPad X1 Carbon 5th,PF0SGKPN,I7-7500U,16 GB DDR3,1 TB,D,"Normal W&T, Marks on Screen, Worn Trackpad",,,,FALSE,Danish,33.00%,Below,DanOffice
1,Laptop,Microsoft,Surface Pro 7+,169828104953,I3,8 GB DDR4,128 GB,B,Normal W&T,,,,TRUE,Nordic,,,DanOffice
1,Laptop,Lenovo,ThinkPad L15 Gen 1,PF3PZL9G,Ryzen 5 4500U,8 GB DDR4,No,D,"Normal W&T, Marks on Screen, Defect Trackpad (Left and right button)",,,,FALSE,Nordic,95.00%,Above,DanOffice
1,Laptop,Microsoft,Surface Pro 6,39925792953,I5-8350U,8 GB DDR3,256 GB,D,"Normal W&T, Dead Pixels",,,,FALSE,Nordic,0.56,Below,DanOffice
1,Laptop,Microsoft,Surface Pro 4,33855454853,I5-6300U,4 GB DDR3,128 GB,B,Normal W&T,,,,TRUE,Nordic,84.00%,Above,DanOffice
1,Laptop,Microsoft,Surface Pro 7,18154201553,I5-1035G4,8 GB DDR4,256 GB,C,"Normal W&T, Worn Keyboard",,,,TRUE,Nordic,76.00%,Below,DanOffice
1,Laptop,Microsoft,Surface Pro 4,45934354853,I5-6300U,4 GB DDR3,128 GB,D,"Normal W&T, Defective Touchscreen (Not working)",,,,FALSE,Nordic,82.00%,Above,DanOffice
1,Docking Station,Dell,WD22TB4,GFDP4S3,,,,C,"Normal W&T, Heavy Tear (Top Cover)",,,,FALSE,,,,HUC
1,Laptop,Dell,Precision 5540,J1ZWM53,i7-9850H,32 GB DDR4,1024 GB NVMe,B,"Normal W&T, Faint White Spot (Bemærk; Laptop har Touchscreen)",Sticky Keys,MAR,,TRUE,Nordic,88.00%,Above,Kosmos
1,Dock,HP,USB-C Dock G5,5CG152W7DW,,,,C,"Normal W&T, Cracked Cover (LAN port)",,,,TRUE,,,,Kornferry
1,Desktop,Dell,OptiPlex 7090 Micro,1PL8SK3,i7-10700T,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Heavy Tear(Top Cover), Power Button Broken",Repair will need to replace the pwr button on the system board,Yes,,FALSE,,,,January '26
1,Desktop,Dell,OptiPlex Micro Plus 7010,76JDWY3,i7-13700,16 GB DDR5,256 GB NVMe,B,Normal W&T,,Yes,,FALSE,,,,January '26
1,Desktop,Dell,OptiPlex 7000 Micro,482C5S3,i7-12700T,16 GB DDR4,256 GB NVMe,B,Normal W&T,,Yes,,FALSE,,,,January '26
